Kategorie: Alle Kategorien

Monat,Bank run: (Weltweit)
2004-01,11
2004-02,12
2004-03,13
2004-04,19
2004-05,16
2004-06,11
2004-07,11
2004-08,11
2004-09,11
2004-10,7
2004-11,10
2004-12,7
2005-01,12
2005-02,12
2005-03,12
2005-04,15
2005-05,24
2005-06,11
2005-07,9
2005-08,12
2005-09,11
2005-10,10
2005-11,11
2005-12,9
2006-01,14
2006-02,11
2006-03,13
2006-04,14
2006-05,23
2006-06,10
2006-07,10
2006-08,8
2006-09,12
2006-10,11
2006-11,10
2006-12,11
2007-01,13
2007-02,11
2007-03,13
2007-04,18
2007-05,28
2007-06,13
2007-07,10
2007-08,16
2007-09,23
2007-10,14
2007-11,14
2007-12,15
2008-01,18
2008-02,16
2008-03,23
2008-04,21
2008-05,32
2008-06,15
2008-07,29
2008-08,15
2008-09,34
2008-10,29
2008-11,17
2008-12,15
2009-01,18
2009-02,23
2009-03,22
2009-04,26
2009-05,39
2009-06,22
2009-07,21
2009-08,21
2009-09,17
2009-10,18
2009-11,17
2009-12,16
2010-01,17
2010-02,18
2010-03,21
2010-04,27
2010-05,40
2010-06,17
2010-07,16
2010-08,19
2010-09,21
2010-10,19
2010-11,27
2010-12,32
2011-01,21
2011-02,21
2011-03,23
2011-04,27
2011-05,38
2011-06,23
2011-07,21
2011-08,25
2011-09,23
2011-10,28
2011-11,26
2011-12,26
2012-01,26
2012-02,26
2012-03,27
2012-04,28
2012-05,51
2012-06,29
2012-07,24
2012-08,24
2012-09,24
2012-10,22
2012-11,23
2012-12,22
2013-01,24
2013-02,24
2013-03,38
2013-04,33
2013-05,37
2013-06,21
2013-07,23
2013-08,24
2013-09,22
2013-10,23
2013-11,22
2013-12,23
2014-01,23
2014-02,24
2014-03,23
2014-04,31
2014-05,32
2014-06,22
2014-07,24
2014-08,22
2014-09,22
2014-10,24
2014-11,21
2014-12,21
2015-01,24
2015-02,23
2015-03,24
2015-04,28
2015-05,34
2015-06,27
2015-07,23
2015-08,23
2015-09,20
2015-10,21
2015-11,21
2015-12,22
2016-01,19
2016-02,20
2016-03,22
2016-04,24
2016-05,28
2016-06,18
2016-07,19
2016-08,17
2016-09,19
2016-10,20
2016-11,19
2016-12,20
2017-01,22
2017-02,19
2017-03,21
2017-04,24
2017-05,25
2017-06,17
2017-07,17
2017-08,19
2017-09,18
2017-10,19
2017-11,20
2017-12,19
2018-01,19
2018-02,20
2018-03,21
2018-04,21
2018-05,25
2018-06,16
2018-07,16
2018-08,17
2018-09,17
2018-10,19
2018-11,19
2018-12,18
2019-01,24
2019-02,20
2019-03,20
2019-04,22
2019-05,24
2019-06,17
2019-07,18
2019-08,18
2019-09,17
2019-10,18
2019-11,19
2019-12,19
2020-01,18
2020-02,19
2020-03,27
2020-04,21
2020-05,20
2020-06,17
2020-07,17
2020-08,16
2020-09,16
2020-10,16
2020-11,16
2020-12,17
2021-01,16
2021-02,16
2021-03,17
2021-04,20
2021-05,19
2021-06,15
2021-07,15
2021-08,16
2021-09,15
2021-10,18
2021-11,18
2021-12,17
2022-01,18
2022-02,33
2022-03,24
2022-04,27
2022-05,24
2022-06,22
2022-07,22
2022-08,20
2022-09,21
2022-10,19
2022-11,27
2022-12,22
2023-01,20
2023-02,20
2023-03,100
2023-04,31
2023-05,28
2023-06,19
2023-07,20
2023-08,19
2023-09,19
2023-10,20
2023-11,21
2023-12,20
2024-01,20
2024-02,22
2024-03,24
2024-04,25
2024-05,25
2024-06,19
2024-07,19
2024-08,20
2024-09,21
2024-10,20
2024-11,22
2024-12,21
2025-01,21
2025-02,23
2025-03,24
2025-04,26
2025-05,23
2025-06,21
