Kategorie: Alle Kategorien

Monat,Consumption: (Weltweit)
2004-01,70
2004-02,78
2004-03,83
2004-04,77
2004-05,100
2004-06,81
2004-07,75
2004-08,81
2004-09,89
2004-10,88
2004-11,90
2004-12,74
2005-01,71
2005-02,79
2005-03,80
2005-04,85
2005-05,77
2005-06,68
2005-07,68
2005-08,73
2005-09,80
2005-10,81
2005-11,84
2005-12,74
2006-01,73
2006-02,76
2006-03,81
2006-04,83
2006-05,84
2006-06,78
2006-07,77
2006-08,78
2006-09,78
2006-10,77
2006-11,77
2006-12,71
2007-01,70
2007-02,74
2007-03,73
2007-04,77
2007-05,74
2007-06,70
2007-07,71
2007-08,64
2007-09,62
2007-10,65
2007-11,67
2007-12,61
2008-01,60
2008-02,57
2008-03,53
2008-04,56
2008-05,52
2008-06,56
2008-07,52
2008-08,45
2008-09,46
2008-10,47
2008-11,47
2008-12,40
2009-01,41
2009-02,45
2009-03,46
2009-04,48
2009-05,43
2009-06,38
2009-07,38
2009-08,41
2009-09,42
2009-10,46
2009-11,46
2009-12,40
2010-01,42
2010-02,47
2010-03,47
2010-04,46
2010-05,44
2010-06,40
2010-07,37
2010-08,36
2010-09,39
2010-10,40
2010-11,42
2010-12,37
2011-01,40
2011-02,42
2011-03,44
2011-04,45
2011-05,41
2011-06,39
2011-07,35
2011-08,35
2011-09,38
2011-10,41
2011-11,41
2011-12,35
2012-01,37
2012-02,40
2012-03,41
2012-04,43
2012-05,40
2012-06,36
2012-07,36
2012-08,35
2012-09,39
2012-10,42
2012-11,40
2012-12,35
2013-01,37
2013-02,40
2013-03,41
2013-04,43
2013-05,40
2013-06,36
2013-07,35
2013-08,37
2013-09,39
2013-10,40
2013-11,42
2013-12,36
2014-01,40
2014-02,44
2014-03,44
2014-04,43
2014-05,41
2014-06,39
2014-07,39
2014-08,37
2014-09,40
2014-10,44
2014-11,46
2014-12,37
2015-01,37
2015-02,40
2015-03,41
2015-04,44
2015-05,39
2015-06,38
2015-07,36
2015-08,36
2015-09,41
2015-10,43
2015-11,39
2015-12,38
2016-01,37
2016-02,41
2016-03,41
2016-04,43
2016-05,41
2016-06,37
2016-07,35
2016-08,34
2016-09,38
2016-10,40
2016-11,41
2016-12,35
2017-01,37
2017-02,43
2017-03,42
2017-04,42
2017-05,40
2017-06,37
2017-07,35
2017-08,36
2017-09,38
2017-10,43
2017-11,45
2017-12,38
2018-01,40
2018-02,43
2018-03,44
2018-04,41
2018-05,40
2018-06,37
2018-07,36
2018-08,38
2018-09,41
2018-10,43
2018-11,41
2018-12,36
2019-01,38
2019-02,41
2019-03,41
2019-04,44
2019-05,39
2019-06,41
2019-07,38
2019-08,38
2019-09,42
2019-10,42
2019-11,39
2019-12,37
2020-01,39
2020-02,42
2020-03,38
2020-04,41
2020-05,43
2020-06,41
2020-07,41
2020-08,39
2020-09,44
2020-10,41
2020-11,39
2020-12,38
2021-01,37
2021-02,42
2021-03,44
2021-04,43
2021-05,44
2021-06,41
2021-07,43
2021-08,38
2021-09,41
2021-10,42
2021-11,41
2021-12,37
2022-01,47
2022-02,55
2022-03,66
2022-04,64
2022-05,56
2022-06,59
2022-07,51
2022-08,49
2022-09,54
2022-10,53
2022-11,52
2022-12,48
2023-01,51
2023-02,53
2023-03,55
2023-04,54
2023-05,52
2023-06,49
2023-07,48
2023-08,47
2023-09,53
2023-10,55
2023-11,52
2023-12,50
2024-01,53
2024-02,57
2024-03,56
2024-04,58
2024-05,56
2024-06,52
2024-07,49
2024-08,51
2024-09,54
2024-10,55
2024-11,56
2024-12,51
2025-01,54
2025-02,56
2025-03,56
2025-04,55
2025-05,54
2025-06,49
