Kategorie: Alle Kategorien

Monat,Panic: (Weltweit)
2004-01,36
2004-02,34
2004-03,35
2004-04,32
2004-05,33
2004-06,28
2004-07,33
2004-08,30
2004-09,33
2004-10,31
2004-11,30
2004-12,34
2005-01,35
2005-02,35
2005-03,34
2005-04,38
2005-05,36
2005-06,34
2005-07,40
2005-08,39
2005-09,41
2005-10,52
2005-11,53
2005-12,54
2006-01,66
2006-02,75
2006-03,80
2006-04,81
2006-05,81
2006-06,83
2006-07,87
2006-08,84
2006-09,100
2006-10,81
2006-11,70
2006-12,63
2007-01,58
2007-02,52
2007-03,49
2007-04,49
2007-05,44
2007-06,44
2007-07,43
2007-08,41
2007-09,39
2007-10,39
2007-11,38
2007-12,40
2008-01,46
2008-02,52
2008-03,57
2008-04,59
2008-05,50
2008-06,43
2008-07,45
2008-08,44
2008-09,39
2008-10,44
2008-11,40
2008-12,42
2009-01,37
2009-02,36
2009-03,37
2009-04,37
2009-05,35
2009-06,36
2009-07,42
2009-08,40
2009-09,35
2009-10,36
2009-11,33
2009-12,35
2010-01,33
2010-02,31
2010-03,31
2010-04,32
2010-05,31
2010-06,31
2010-07,33
2010-08,30
2010-09,29
2010-10,30
2010-11,30
2010-12,29
2011-01,34
2011-02,37
2011-03,41
2011-04,40
2011-05,38
2011-06,37
2011-07,35
2011-08,35
2011-09,32
2011-10,34
2011-11,37
2011-12,33
2012-01,33
2012-02,31
2012-03,29
2012-04,30
2012-05,29
2012-06,29
2012-07,29
2012-08,31
2012-09,29
2012-10,34
2012-11,28
2012-12,30
2013-01,30
2013-02,29
2013-03,29
2013-04,29
2013-05,29
2013-06,30
2013-07,33
2013-08,34
2013-09,32
2013-10,36
2013-11,32
2013-12,31
2014-01,34
2014-02,36
2014-03,34
2014-04,33
2014-05,30
2014-06,30
2014-07,32
2014-08,33
2014-09,31
2014-10,34
2014-11,28
2014-12,29
2015-01,30
2015-02,29
2015-03,31
2015-04,33
2015-05,32
2015-06,30
2015-07,32
2015-08,32
2015-09,32
2015-10,34
2015-11,34
2015-12,33
2016-01,42
2016-02,38
2016-03,32
2016-04,39
2016-05,36
2016-06,35
2016-07,35
2016-08,32
2016-09,33
2016-10,33
2016-11,33
2016-12,32
2017-01,35
2017-02,34
2017-03,37
2017-04,32
2017-05,28
2017-06,28
2017-07,27
2017-08,29
2017-09,28
2017-10,27
2017-11,29
2017-12,28
2018-01,29
2018-02,29
2018-03,35
2018-04,31
2018-05,31
2018-06,37
2018-07,37
2018-08,36
2018-09,34
2018-10,35
2018-11,35
2018-12,35
2019-01,38
2019-02,36
2019-03,34
2019-04,32
2019-05,32
2019-06,29
2019-07,28
2019-08,29
2019-09,28
2019-10,29
2019-11,29
2019-12,27
2020-01,28
2020-02,30
2020-03,49
2020-04,35
2020-05,32
2020-06,30
2020-07,28
2020-08,27
2020-09,29
2020-10,26
2020-11,25
2020-12,25
2021-01,26
2021-02,26
2021-03,24
2021-04,25
2021-05,31
2021-06,33
2021-07,27
2021-08,26
2021-09,27
2021-10,26
2021-11,24
2021-12,23
2022-01,28
2022-02,27
2022-03,26
2022-04,26
2022-05,28
2022-06,30
2022-07,26
2022-08,28
2022-09,27
2022-10,27
2022-11,23
2022-12,24
2023-01,30
2023-02,27
2023-03,26
2023-04,24
2023-05,24
2023-06,24
2023-07,24
2023-08,25
2023-09,25
2023-10,25
2023-11,24
2023-12,22
2024-01,24
2024-02,24
2024-03,24
2024-04,23
2024-05,24
2024-06,24
2024-07,26
2024-08,25
2024-09,23
2024-10,26
2024-11,25
2024-12,23
2025-01,24
2025-02,25
2025-03,24
2025-04,25
2025-05,24
2025-06,24
