Kategorie: Alle Kategorien

Monat,real estate crash: (Weltweit)
2004-01,0
2004-02,27
2004-03,35
2004-04,32
2004-05,58
2004-06,62
2004-07,80
2004-08,30
2004-09,46
2004-10,36
2004-11,36
2004-12,54
2005-01,58
2005-02,44
2005-03,65
2005-04,66
2005-05,97
2005-06,77
2005-07,39
2005-08,66
2005-09,52
2005-10,58
2005-11,42
2005-12,52
2006-01,57
2006-02,44
2006-03,61
2006-04,45
2006-05,45
2006-06,60
2006-07,49
2006-08,53
2006-09,60
2006-10,48
2006-11,31
2006-12,23
2007-01,38
2007-02,30
2007-03,49
2007-04,38
2007-05,34
2007-06,40
2007-07,46
2007-08,58
2007-09,39
2007-10,32
2007-11,29
2007-12,29
2008-01,43
2008-02,22
2008-03,29
2008-04,24
2008-05,26
2008-06,25
2008-07,31
2008-08,29
2008-09,32
2008-10,36
2008-11,25
2008-12,29
2009-01,28
2009-02,33
2009-03,27
2009-04,24
2009-05,21
2009-06,22
2009-07,18
2009-08,25
2009-09,23
2009-10,22
2009-11,28
2009-12,21
2010-01,18
2010-02,24
2010-03,18
2010-04,18
2010-05,24
2010-06,17
2010-07,19
2010-08,22
2010-09,18
2010-10,18
2010-11,17
2010-12,14
2011-01,15
2011-02,17
2011-03,19
2011-04,13
2011-05,15
2011-06,17
2011-07,15
2011-08,19
2011-09,16
2011-10,19
2011-11,16
2011-12,13
2012-01,17
2012-02,13
2012-03,15
2012-04,16
2012-05,15
2012-06,13
2012-07,16
2012-08,12
2012-09,15
2012-10,14
2012-11,13
2012-12,12
2013-01,17
2013-02,15
2013-03,15
2013-04,16
2013-05,16
2013-06,16
2013-07,23
2013-08,20
2013-09,19
2013-10,16
2013-11,15
2013-12,15
2014-01,16
2014-02,14
2014-03,19
2014-04,16
2014-05,18
2014-06,15
2014-07,20
2014-08,15
2014-09,17
2014-10,17
2014-11,13
2014-12,14
2015-01,17
2015-02,18
2015-03,22
2015-04,19
2015-05,19
2015-06,18
2015-07,25
2015-08,28
2015-09,19
2015-10,18
2015-11,19
2015-12,18
2016-01,27
2016-02,26
2016-03,23
2016-04,25
2016-05,25
2016-06,26
2016-07,24
2016-08,28
2016-09,27
2016-10,24
2016-11,31
2016-12,23
2017-01,21
2017-02,24
2017-03,28
2017-04,27
2017-05,29
2017-06,28
2017-07,29
2017-08,25
2017-09,22
2017-10,22
2017-11,23
2017-12,21
2018-01,25
2018-02,27
2018-03,23
2018-04,26
2018-05,26
2018-06,28
2018-07,29
2018-08,31
2018-09,26
2018-10,27
2018-11,22
2018-12,22
2019-01,22
2019-02,23
2019-03,24
2019-04,21
2019-05,22
2019-06,23
2019-07,21
2019-08,25
2019-09,19
2019-10,22
2019-11,18
2019-12,18
2020-01,22
2020-02,24
2020-03,59
2020-04,50
2020-05,39
2020-06,29
2020-07,28
2020-08,34
2020-09,30
2020-10,27
2020-11,22
2020-12,23
2021-01,28
2021-02,30
2021-03,34
2021-04,37
2021-05,38
2021-06,37
2021-07,34
2021-08,29
2021-09,31
2021-10,35
2021-11,30
2021-12,30
2022-01,36
2022-02,42
2022-03,46
2022-04,45
2022-05,46
2022-06,84
2022-07,52
2022-08,66
2022-09,94
2022-10,100
2022-11,47
2022-12,53
2023-01,44
2023-02,46
2023-03,29
2023-04,27
2023-05,26
2023-06,42
2023-07,69
2023-08,29
2023-09,33
2023-10,24
2023-11,21
2023-12,20
2024-01,22
2024-02,22
2024-03,21
2024-04,20
2024-05,19
2024-06,21
2024-07,23
2024-08,23
2024-09,17
2024-10,19
2024-11,16
2024-12,16
2025-01,21
2025-02,31
2025-03,23
2025-04,28
2025-05,22
2025-06,22
