Kategorie: Alle Kategorien

Monat,War: (Weltweit)
2004-01,75
2004-02,81
2004-03,87
2004-04,88
2004-05,95
2004-06,59
2004-07,46
2004-08,52
2004-09,74
2004-10,82
2004-11,80
2004-12,71
2005-01,67
2005-02,73
2005-03,74
2005-04,83
2005-05,91
2005-06,68
2005-07,63
2005-08,52
2005-09,59
2005-10,65
2005-11,70
2005-12,61
2006-01,65
2006-02,69
2006-03,71
2006-04,65
2006-05,68
2006-06,51
2006-07,49
2006-08,47
2006-09,53
2006-10,61
2006-11,72
2006-12,64
2007-01,59
2007-02,62
2007-03,65
2007-04,65
2007-05,66
2007-06,52
2007-07,46
2007-08,46
2007-09,53
2007-10,56
2007-11,59
2007-12,58
2008-01,60
2008-02,54
2008-03,62
2008-04,63
2008-05,59
2008-06,47
2008-07,47
2008-08,49
2008-09,53
2008-10,59
2008-11,78
2008-12,70
2009-01,62
2009-02,67
2009-03,70
2009-04,61
2009-05,64
2009-06,54
2009-07,47
2009-08,47
2009-09,52
2009-10,51
2009-11,54
2009-12,58
2010-01,55
2010-02,54
2010-03,63
2010-04,61
2010-05,60
2010-06,53
2010-07,46
2010-08,46
2010-09,49
2010-10,50
2010-11,52
2010-12,51
2011-01,50
2011-02,46
2011-03,49
2011-04,55
2011-05,52
2011-06,46
2011-07,43
2011-08,44
2011-09,52
2011-10,52
2011-11,50
2011-12,50
2012-01,50
2012-02,50
2012-03,48
2012-04,47
2012-05,47
2012-06,43
2012-07,40
2012-08,39
2012-09,43
2012-10,43
2012-11,47
2012-12,45
2013-01,43
2013-02,48
2013-03,56
2013-04,52
2013-05,50
2013-06,51
2013-07,46
2013-08,42
2013-09,52
2013-10,43
2013-11,42
2013-12,43
2014-01,41
2014-02,41
2014-03,42
2014-04,42
2014-05,45
2014-06,39
2014-07,38
2014-08,42
2014-09,38
2014-10,40
2014-11,43
2014-12,44
2015-01,43
2015-02,44
2015-03,45
2015-04,48
2015-05,49
2015-06,42
2015-07,44
2015-08,41
2015-09,47
2015-10,44
2015-11,49
2015-12,46
2016-01,46
2016-02,48
2016-03,50
2016-04,61
2016-05,76
2016-06,46
2016-07,40
2016-08,39
2016-09,46
2016-10,47
2016-11,45
2016-12,44
2017-01,43
2017-02,43
2017-03,42
2017-04,50
2017-05,47
2017-06,38
2017-07,44
2017-08,41
2017-09,39
2017-10,43
2017-11,47
2017-12,42
2018-01,39
2018-02,39
2018-03,49
2018-04,100
2018-05,92
2018-06,48
2018-07,42
2018-08,44
2018-09,40
2018-10,36
2018-11,39
2018-12,40
2019-01,37
2019-02,39
2019-03,39
2019-04,50
2019-05,45
2019-06,34
2019-07,29
2019-08,30
2019-09,33
2019-10,45
2019-11,38
2019-12,36
2020-01,45
2020-02,34
2020-03,39
2020-04,44
2020-05,43
2020-06,35
2020-07,32
2020-08,34
2020-09,35
2020-10,36
2020-11,47
2020-12,42
2021-01,38
2021-02,37
2021-03,35
2021-04,35
2021-05,36
2021-06,29
2021-07,36
2021-08,32
2021-09,29
2021-10,29
2021-11,28
2021-12,29
2022-01,39
2022-02,65
2022-03,59
2022-04,48
2022-05,45
2022-06,36
2022-07,36
2022-08,35
2022-09,39
2022-10,42
2022-11,57
2022-12,45
2023-01,43
2023-02,44
2023-03,40
2023-04,38
2023-05,38
2023-06,35
2023-07,33
2023-08,33
2023-09,34
2023-10,49
2023-11,40
2023-12,41
2024-01,41
2024-02,44
2024-03,40
2024-04,50
2024-05,44
2024-06,39
2024-07,35
2024-08,38
2024-09,42
2024-10,42
2024-11,44
2024-12,45
2025-01,41
2025-02,39
2025-03,42
2025-04,41
2025-05,61
