Kategorie: Alle Kategorien

Monat,crash: (Weltweit)
2004-01,47
2004-02,45
2004-03,40
2004-04,51
2004-05,41
2004-06,39
2004-07,41
2004-08,40
2004-09,42
2004-10,49
2004-11,43
2004-12,45
2005-01,42
2005-02,43
2005-03,43
2005-04,44
2005-05,51
2005-06,48
2005-07,48
2005-08,61
2005-09,49
2005-10,47
2005-11,47
2005-12,48
2006-01,47
2006-02,47
2006-03,64
2006-04,50
2006-05,45
2006-06,40
2006-07,47
2006-08,44
2006-09,42
2006-10,47
2006-11,39
2006-12,39
2007-01,39
2007-02,39
2007-03,40
2007-04,41
2007-05,41
2007-06,43
2007-07,46
2007-08,45
2007-09,44
2007-10,43
2007-11,45
2007-12,44
2008-01,49
2008-02,42
2008-03,42
2008-04,41
2008-05,42
2008-06,43
2008-07,44
2008-08,50
2008-09,54
2008-10,45
2008-11,44
2008-12,46
2009-01,56
2009-02,54
2009-03,47
2009-04,43
2009-05,44
2009-06,64
2009-07,52
2009-08,52
2009-09,47
2009-10,45
2009-11,43
2009-12,43
2010-01,42
2010-02,64
2010-03,42
2010-04,48
2010-05,48
2010-06,43
2010-07,51
2010-08,50
2010-09,46
2010-10,42
2010-11,41
2010-12,42
2011-01,38
2011-02,39
2011-03,37
2011-04,42
2011-05,41
2011-06,46
2011-07,44
2011-08,45
2011-09,53
2011-10,65
2011-11,47
2011-12,41
2012-01,43
2012-02,40
2012-03,38
2012-04,42
2012-05,40
2012-06,43
2012-07,43
2012-08,40
2012-09,40
2012-10,39
2012-11,37
2012-12,41
2013-01,43
2013-02,46
2013-03,39
2013-04,38
2013-05,45
2013-06,44
2013-07,71
2013-08,45
2013-09,39
2013-10,41
2013-11,42
2013-12,58
2014-01,39
2014-02,40
2014-03,59
2014-04,40
2014-05,35
2014-06,38
2014-07,58
2014-08,40
2014-09,37
2014-10,44
2014-11,35
2014-12,40
2015-01,41
2015-02,51
2015-03,69
2015-04,41
2015-05,43
2015-06,42
2015-07,45
2015-08,50
2015-09,38
2015-10,40
2015-11,42
2015-12,35
2016-01,36
2016-02,35
2016-03,38
2016-04,36
2016-05,43
2016-06,41
2016-07,38
2016-08,44
2016-09,39
2016-10,36
2016-11,44
2016-12,45
2017-01,36
2017-02,34
2017-03,35
2017-04,33
2017-05,38
2017-06,38
2017-07,54
2017-08,38
2017-09,36
2017-10,33
2017-11,34
2017-12,39
2018-01,36
2018-02,41
2018-03,37
2018-04,42
2018-05,38
2018-06,35
2018-07,36
2018-08,36
2018-09,32
2018-10,47
2018-11,38
2018-12,35
2019-01,35
2019-02,35
2019-03,47
2019-04,32
2019-05,33
2019-06,40
2019-07,35
2019-08,35
2019-09,33
2019-10,31
2019-11,32
2019-12,39
2020-01,74
2020-02,58
2020-03,45
2020-04,40
2020-05,39
2020-06,34
2020-07,32
2020-08,35
2020-09,32
2020-10,33
2020-11,31
2020-12,30
2021-01,32
2021-02,35
2021-03,34
2021-04,31
2021-05,36
2021-06,33
2021-07,34
2021-08,30
2021-09,30
2021-10,31
2021-11,29
2021-12,31
2022-01,32
2022-02,33
2022-03,38
2022-04,32
2022-05,32
2022-06,34
2022-07,35
2022-08,39
2022-09,32
2022-10,31
2022-11,35
2022-12,29
2023-01,39
2023-02,36
2023-03,37
2023-04,32
2023-05,30
2023-06,38
2023-07,35
2023-08,36
2023-09,35
2023-10,30
2023-11,31
2023-12,31
2024-01,44
2024-02,35
2024-03,34
2024-04,34
2024-05,34
2024-06,35
2024-07,35
2024-08,43
2024-09,32
2024-10,31
2024-11,31
2024-12,47
2025-01,68
2025-02,79
2025-03,39
2025-04,44
2025-05,40
2025-06,100
