Kategorie: Alle Kategorien

Monat,Real estate boom: (Weltweit)
2004-01,0
2004-02,0
2004-03,0
2004-04,44
2004-05,27
2004-06,0
2004-07,0
2004-08,35
2004-09,34
2004-10,38
2004-11,36
2004-12,22
2005-01,21
2005-02,18
2005-03,40
2005-04,68
2005-05,100
2005-06,68
2005-07,80
2005-08,52
2005-09,52
2005-10,56
2005-11,52
2005-12,39
2006-01,42
2006-02,41
2006-03,41
2006-04,48
2006-05,48
2006-06,48
2006-07,35
2006-08,43
2006-09,28
2006-10,30
2006-11,33
2006-12,29
2007-01,33
2007-02,31
2007-03,30
2007-04,27
2007-05,29
2007-06,26
2007-07,30
2007-08,33
2007-09,22
2007-10,23
2007-11,20
2007-12,21
2008-01,26
2008-02,20
2008-03,17
2008-04,20
2008-05,15
2008-06,20
2008-07,18
2008-08,15
2008-09,15
2008-10,17
2008-11,13
2008-12,5
2009-01,12
2009-02,9
2009-03,10
2009-04,9
2009-05,8
2009-06,9
2009-07,7
2009-08,10
2009-09,8
2009-10,8
2009-11,4
2009-12,7
2010-01,10
2010-02,8
2010-03,8
2010-04,9
2010-05,5
2010-06,5
2010-07,7
2010-08,9
2010-09,7
2010-10,7
2010-11,10
2010-12,7
2011-01,8
2011-02,7
2011-03,7
2011-04,8
2011-05,6
2011-06,7
2011-07,7
2011-08,8
2011-09,7
2011-10,8
2011-11,9
2011-12,6
2012-01,8
2012-02,7
2012-03,5
2012-04,8
2012-05,7
2012-06,9
2012-07,8
2012-08,7
2012-09,8
2012-10,7
2012-11,7
2012-12,6
2013-01,8
2013-02,8
2013-03,9
2013-04,7
2013-05,8
2013-06,8
2013-07,9
2013-08,9
2013-09,9
2013-10,9
2013-11,7
2013-12,7
2014-01,8
2014-02,8
2014-03,8
2014-04,9
2014-05,8
2014-06,8
2014-07,7
2014-08,8
2014-09,8
2014-10,8
2014-11,7
2014-12,6
2015-01,8
2015-02,7
2015-03,7
2015-04,8
2015-05,9
2015-06,7
2015-07,7
2015-08,6
2015-09,7
2015-10,7
2015-11,5
2015-12,6
2016-01,8
2016-02,7
2016-03,7
2016-04,9
2016-05,9
2016-06,6
2016-07,7
2016-08,7
2016-09,7
2016-10,6
2016-11,8
2016-12,6
2017-01,7
2017-02,8
2017-03,8
2017-04,10
2017-05,8
2017-06,6
2017-07,7
2017-08,7
2017-09,7
2017-10,7
2017-11,7
2017-12,5
2018-01,9
2018-02,7
2018-03,6
2018-04,7
2018-05,6
2018-06,6
2018-07,6
2018-08,6
2018-09,5
2018-10,6
2018-11,6
2018-12,5
2019-01,6
2019-02,6
2019-03,7
2019-04,4
2019-05,6
2019-06,5
2019-07,5
2019-08,6
2019-09,5
2019-10,5
2019-11,5
2019-12,5
2020-01,5
2020-02,5
2020-03,4
2020-04,6
2020-05,5
2020-06,5
2020-07,6
2020-08,6
2020-09,6
2020-10,7
2020-11,6
2020-12,5
2021-01,6
2021-02,8
2021-03,9
2021-04,10
2021-05,9
2021-06,8
2021-07,8
2021-08,6
2021-09,6
2021-10,5
2021-11,7
2021-12,5
2022-01,7
2022-02,7
2022-03,7
2022-04,6
2022-05,6
2022-06,6
2022-07,6
2022-08,4
2022-09,5
2022-10,4
2022-11,4
2022-12,4
2023-01,5
2023-02,5
2023-03,4
2023-04,5
2023-05,4
2023-06,4
2023-07,4
2023-08,5
2023-09,4
2023-10,4
2023-11,4
2023-12,4
2024-01,5
2024-02,5
2024-03,4
2024-04,4
2024-05,5
2024-06,4
2024-07,4
2024-08,5
2024-09,5
2024-10,5
2024-11,5
2024-12,5
2025-01,5
2025-02,6
2025-03,6
2025-04,5
2025-05,7
2025-06,5
