Kategorie: Alle Kategorien

Monat,speculation: (Weltweit)
2004-01,55
2004-02,56
2004-03,51
2004-04,55
2004-05,63
2004-06,56
2004-07,52
2004-08,42
2004-09,37
2004-10,45
2004-11,50
2004-12,46
2005-01,56
2005-02,42
2005-03,48
2005-04,53
2005-05,62
2005-06,51
2005-07,55
2005-08,52
2005-09,39
2005-10,45
2005-11,45
2005-12,42
2006-01,47
2006-02,42
2006-03,46
2006-04,50
2006-05,57
2006-06,44
2006-07,49
2006-08,42
2006-09,36
2006-10,38
2006-11,38
2006-12,38
2007-01,44
2007-02,33
2007-03,37
2007-04,39
2007-05,55
2007-06,50
2007-07,39
2007-08,33
2007-09,32
2007-10,34
2007-11,38
2007-12,34
2008-01,44
2008-02,34
2008-03,39
2008-04,45
2008-05,69
2008-06,100
2008-07,92
2008-08,51
2008-09,45
2008-10,46
2008-11,41
2008-12,39
2009-01,41
2009-02,42
2009-03,37
2009-04,33
2009-05,37
2009-06,42
2009-07,47
2009-08,37
2009-09,33
2009-10,37
2009-11,39
2009-12,37
2010-01,38
2010-02,42
2010-03,43
2010-04,47
2010-05,50
2010-06,40
2010-07,38
2010-08,37
2010-09,38
2010-10,43
2010-11,46
2010-12,44
2011-01,53
2011-02,44
2011-03,50
2011-04,57
2011-05,55
2011-06,50
2011-07,45
2011-08,46
2011-09,44
2011-10,51
2011-11,53
2011-12,41
2012-01,42
2012-02,48
2012-03,53
2012-04,48
2012-05,48
2012-06,42
2012-07,43
2012-08,44
2012-09,40
2012-10,39
2012-11,45
2012-12,39
2013-01,39
2013-02,43
2013-03,40
2013-04,45
2013-05,42
2013-06,42
2013-07,37
2013-08,41
2013-09,39
2013-10,39
2013-11,45
2013-12,42
2014-01,46
2014-02,44
2014-03,54
2014-04,47
2014-05,43
2014-06,39
2014-07,39
2014-08,38
2014-09,41
2014-10,41
2014-11,42
2014-12,41
2015-01,49
2015-02,46
2015-03,47
2015-04,43
2015-05,41
2015-06,38
2015-07,37
2015-08,38
2015-09,39
2015-10,48
2015-11,44
2015-12,47
2016-01,50
2016-02,61
2016-03,52
2016-04,55
2016-05,49
2016-06,41
2016-07,37
2016-08,35
2016-09,39
2016-10,41
2016-11,45
2016-12,42
2017-01,49
2017-02,51
2017-03,54
2017-04,52
2017-05,46
2017-06,39
2017-07,40
2017-08,40
2017-09,41
2017-10,51
2017-11,56
2017-12,61
2018-01,59
2018-02,57
2018-03,64
2018-04,53
2018-05,52
2018-06,42
2018-07,44
2018-08,49
2018-09,43
2018-10,49
2018-11,51
2018-12,43
2019-01,60
2019-02,64
2019-03,64
2019-04,52
2019-05,48
2019-06,36
2019-07,40
2019-08,38
2019-09,46
2019-10,46
2019-11,49
2019-12,44
2020-01,51
2020-02,55
2020-03,55
2020-04,50
2020-05,46
2020-06,43
2020-07,43
2020-08,45
2020-09,54
2020-10,44
2020-11,43
2020-12,45
2021-01,50
2021-02,55
2021-03,52
2021-04,45
2021-05,45
2021-06,41
2021-07,37
2021-08,33
2021-09,38
2021-10,41
2021-11,40
2021-12,37
2022-01,50
2022-02,57
2022-03,63
2022-04,59
2022-05,72
2022-06,50
2022-07,47
2022-08,42
2022-09,50
2022-10,50
2022-11,57
2022-12,51
2023-01,50
2023-02,61
2023-03,54
2023-04,49
2023-05,44
2023-06,42
2023-07,41
2023-08,38
2023-09,47
2023-10,46
2023-11,49
2023-12,46
2024-01,53
2024-02,61
2024-03,57
2024-04,50
2024-05,47
2024-06,39
2024-07,43
2024-08,39
2024-09,41
2024-10,46
2024-11,48
2024-12,46
2025-01,50
2025-02,58
2025-03,57
2025-04,47
2025-05,46
2025-06,41
