Kategorie: Alle Kategorien

Monat,stock crash: (Weltweit)
2004-01,38
2004-02,44
2004-03,50
2004-04,49
2004-05,42
2004-06,21
2004-07,13
2004-08,13
2004-09,21
2004-10,31
2004-11,33
2004-12,26
2005-01,29
2005-02,37
2005-03,37
2005-04,41
2005-05,33
2005-06,22
2005-07,11
2005-08,12
2005-09,16
2005-10,28
2005-11,28
2005-12,24
2006-01,24
2006-02,28
2006-03,32
2006-04,30
2006-05,30
2006-06,17
2006-07,9
2006-08,11
2006-09,16
2006-10,23
2006-11,19
2006-12,19
2007-01,19
2007-02,30
2007-03,31
2007-04,23
2007-05,24
2007-06,14
2007-07,14
2007-08,23
2007-09,19
2007-10,27
2007-11,21
2007-12,17
2008-01,35
2008-02,21
2008-03,25
2008-04,24
2008-05,19
2008-06,13
2008-07,11
2008-08,8
2008-09,55
2008-10,70
2008-11,34
2008-12,22
2009-01,18
2009-02,24
2009-03,27
2009-04,20
2009-05,17
2009-06,10
2009-07,7
2009-08,9
2009-09,14
2009-10,26
2009-11,16
2009-12,13
2010-01,15
2010-02,17
2010-03,19
2010-04,19
2010-05,25
2010-06,12
2010-07,9
2010-08,10
2010-09,14
2010-10,22
2010-11,15
2010-12,12
2011-01,14
2011-02,16
2011-03,21
2011-04,18
2011-05,16
2011-06,11
2011-07,9
2011-08,29
2011-09,16
2011-10,21
2011-11,14
2011-12,12
2012-01,13
2012-02,15
2012-03,15
2012-04,15
2012-05,15
2012-06,11
2012-07,8
2012-08,8
2012-09,13
2012-10,19
2012-11,17
2012-12,12
2013-01,13
2013-02,16
2013-03,16
2013-04,17
2013-05,16
2013-06,12
2013-07,9
2013-08,11
2013-09,13
2013-10,20
2013-11,14
2013-12,14
2014-01,15
2014-02,19
2014-03,20
2014-04,22
2014-05,15
2014-06,11
2014-07,11
2014-08,11
2014-09,14
2014-10,21
2014-11,30
2014-12,15
2015-01,18
2015-02,20
2015-03,20
2015-04,20
2015-05,17
2015-06,13
2015-07,29
2015-08,61
2015-09,27
2015-10,26
2015-11,15
2015-12,15
2016-01,40
2016-02,25
2016-03,20
2016-04,21
2016-05,18
2016-06,22
2016-07,11
2016-08,10
2016-09,15
2016-10,14
2016-11,41
2016-12,15
2017-01,18
2017-02,21
2017-03,24
2017-04,18
2017-05,20
2017-06,13
2017-07,12
2017-08,13
2017-09,15
2017-10,20
2017-11,21
2017-12,23
2018-01,26
2018-02,100
2018-03,27
2018-04,23
2018-05,17
2018-06,13
2018-07,11
2018-08,13
2018-09,14
2018-10,36
2018-11,23
2018-12,42
2019-01,20
2019-02,21
2019-03,25
2019-04,22
2019-05,20
2019-06,12
2019-07,11
2019-08,18
2019-09,11
2019-10,17
2019-11,17
2019-12,17
2020-01,24
2020-02,43
2020-03,95
2020-04,40
2020-05,28
2020-06,27
2020-07,24
2020-08,23
2020-09,28
2020-10,25
2020-11,23
2020-12,28
2021-01,45
2021-02,45
2021-03,34
2021-04,28
2021-05,29
2021-06,20
2021-07,20
2021-08,16
2021-09,22
2021-10,22
2021-11,24
2021-12,22
2022-01,39
2022-02,34
2022-03,28
2022-04,29
2022-05,39
2022-06,28
2022-07,13
2022-08,13
2022-09,20
2022-10,19
2022-11,18
2022-12,16
2023-01,19
2023-02,22
2023-03,27
2023-04,19
2023-05,19
2023-06,10
2023-07,9
2023-08,35
2023-09,13
2023-10,19
2023-11,15
2023-12,19
2024-01,19
2024-02,24
2024-03,27
2024-04,22
2024-05,18
2024-06,15
2024-07,16
2024-08,72
2024-09,16
2024-10,20
2024-11,24
2024-12,25
2025-01,38
2025-02,42
2025-03,50
2025-04,78
2025-05,19
2025-06,12
