Kategorie: Alle Kategorien

Monat,Trade War: (Weltweit)
2004-01,12
2004-02,15
2004-03,17
2004-04,16
2004-05,15
2004-06,10
2004-07,8
2004-08,5
2004-09,13
2004-10,13
2004-11,13
2004-12,9
2005-01,9
2005-02,11
2005-03,11
2005-04,13
2005-05,13
2005-06,9
2005-07,7
2005-08,6
2005-09,8
2005-10,11
2005-11,10
2005-12,8
2006-01,7
2006-02,9
2006-03,10
2006-04,10
2006-05,10
2006-06,5
2006-07,4
2006-08,5
2006-09,9
2006-10,8
2006-11,8
2006-12,7
2007-01,7
2007-02,7
2007-03,7
2007-04,8
2007-05,9
2007-06,6
2007-07,4
2007-08,5
2007-09,7
2007-10,7
2007-11,7
2007-12,6
2008-01,7
2008-02,7
2008-03,7
2008-04,8
2008-05,7
2008-06,5
2008-07,4
2008-08,4
2008-09,7
2008-10,8
2008-11,8
2008-12,7
2009-01,6
2009-02,9
2009-03,11
2009-04,8
2009-05,9
2009-06,7
2009-07,5
2009-08,4
2009-09,9
2009-10,7
2009-11,9
2009-12,7
2010-01,7
2010-02,8
2010-03,9
2010-04,7
2010-05,8
2010-06,6
2010-07,4
2010-08,4
2010-09,6
2010-10,8
2010-11,8
2010-12,7
2011-01,8
2011-02,7
2011-03,7
2011-04,7
2011-05,8
2011-06,5
2011-07,4
2011-08,4
2011-09,10
2011-10,10
2011-11,8
2011-12,7
2012-01,7
2012-02,8
2012-03,8
2012-04,7
2012-05,7
2012-06,5
2012-07,4
2012-08,5
2012-09,8
2012-10,8
2012-11,7
2012-12,7
2013-01,7
2013-02,8
2013-03,8
2013-04,8
2013-05,8
2013-06,5
2013-07,4
2013-08,5
2013-09,9
2013-10,8
2013-11,7
2013-12,7
2014-01,6
2014-02,7
2014-03,7
2014-04,7
2014-05,8
2014-06,5
2014-07,4
2014-08,5
2014-09,7
2014-10,8
2014-11,7
2014-12,6
2015-01,7
2015-02,8
2015-03,7
2015-04,8
2015-05,8
2015-06,5
2015-07,4
2015-08,5
2015-09,8
2015-10,8
2015-11,8
2015-12,8
2016-01,7
2016-02,9
2016-03,8
2016-04,9
2016-05,9
2016-06,6
2016-07,4
2016-08,4
2016-09,8
2016-10,8
2016-11,10
2016-12,10
2017-01,11
2017-02,11
2017-03,10
2017-04,11
2017-05,9
2017-06,6
2017-07,5
2017-08,6
2017-09,8
2017-10,9
2017-11,9
2017-12,8
2018-01,8
2018-02,9
2018-03,48
2018-04,59
2018-05,29
2018-06,65
2018-07,86
2018-08,54
2018-09,67
2018-10,50
2018-11,41
2018-12,39
2019-01,34
2019-02,33
2019-03,26
2019-04,22
2019-05,100
2019-06,67
2019-07,35
2019-08,84
2019-09,62
2019-10,55
2019-11,47
2019-12,41
2020-01,27
2020-02,18
2020-03,19
2020-04,18
2020-05,22
2020-06,15
2020-07,11
2020-08,10
2020-09,17
2020-10,16
2020-11,15
2020-12,14
2021-01,12
2021-02,12
2021-03,12
2021-04,12
2021-05,11
2021-06,8
2021-07,8
2021-08,7
2021-09,10
2021-10,10
2021-11,10
2021-12,9
2022-01,10
2022-02,16
2022-03,18
2022-04,19
2022-05,18
2022-06,10
2022-07,8
2022-08,9
2022-09,14
2022-10,15
2022-11,16
2022-12,15
2023-01,14
2023-02,17
2023-03,15
2023-04,16
2023-05,16
2023-06,9
2023-07,7
2023-08,8
2023-09,15
2023-10,17
2023-11,15
2023-12,14
2024-01,15
2024-02,19
2024-03,17
2024-04,19
2024-05,17
2024-06,9
2024-07,8
2024-08,10
2024-09,17
2024-10,19
2024-11,20
2024-12,18
2025-01,20
2025-02,51
2025-03,54
2025-04,87
2025-05,41
